Month,Day,Hour,Grid_Price,Aggregator_Price,Household_Demand,SoC,Car_Available
1,1,0,0.17,0.15,0.0,0.6879,1
1,1,1,0.16,0.14,0.0,,1
1,1,2,0.21,0.19,0.0,,1
1,1,3,0.23,0.2,3.21,,0
1,1,4,0.21,0.19,0.0,0.949,1
1,1,5,0.24,0.21,0.0,,0
1,1,6,0.21,0.18,16.17,0.5698,1
1,1,7,0.38,0.32,23.02,,1
1,1,8,0.44,0.34,5.47,,0
1,1,9,0.37,0.3,0.0,,0
1,1,10,0.33,0.26,0.0,0.2606,1
1,1,11,0.29,0.24,0.0,,0
1,1,12,0.29,0.24,0.0,,0
1,1,13,0.25,0.18,0.0,,0
1,1,14,0.32,0.25,0.0,,0
1,1,15,0.34,0.24,0.0,,0
1,1,16,0.27,0.19,2.57,,0
1,1,17,0.34,0.24,6.43,,0
1,1,18,0.37,0.33,18.72,0.4347,1
1,1,19,0.5,0.46,23.87,,1
1,1,20,0.43,0.38,8.45,,0
1,1,21,0.44,0.39,12.63,0.8962,1
1,1,22,0.22,0.2,24.62,,1
1,1,23,0.2,0.17,13.03,,1
1,2,0,0.16,0.15,0.0,,0
1,2,1,0.24,0.21,0.0,,0
1,2,2,0.22,0.21,0.0,0.156,1
1,2,3,0.22,0.19,0.0,,1
1,2,4,0.18,0.16,0.0,,0
1,2,5,0.23,0.2,0.0,0.3006,1
1,2,6,0.17,0.16,8.25,,1
1,2,7,0.5,0.46,9.29,,1
1,2,8,0.43,0.33,8.17,,0
1,2,9,0.39,0.31,0.0,,0
1,2,10,0.25,0.21,0.0,0.4241,1
1,2,11,0.27,0.2,0.0,,0
1,2,12,0.31,0.25,0.0,,0
1,2,13,0.26,0.2,0.0,,0
1,2,14,0.31,0.24,0.0,,0
1,2,15,0.28,0.22,0.0,,0
1,2,16,0.25,0.2,0.0,,0
1,2,17,0.31,0.25,10.5,,0
1,2,18,0.49,0.45,15.41,0.2828,1
1,2,19,0.44,0.39,8.66,,0
1,2,20,0.41,0.39,14.09,0.6226,1
1,2,21,0.38,0.35,5.9,,1
1,2,22,0.18,0.15,12.56,,1
